S. No.,RFID Card Serial No.,Code Forward,Code Reverse,
1,"0006150836 093,55988",01B4DA5D003100A9,A90031005DDAB401,
2,"0006006767 091,42991",01EFA75B003100F7,F70031005BA7EF01,
3,"0006400318 097,43326",013EA961003100F5,F500310061A93E01,
4,"0006647953 101,28817",019170650031002E,2E00310065709101,
5,"0006652908 101,33772",01EC836500310014,140031006583EC01,
6,"0006195597 094,35213",018D895E00310081,810031005E898D01,
7,"0006651858 101,32722",01D27F650031006D,6D003100657FD201,
8,"0006284516 095,58596",01E4E45F003100A6,A60031005FE4E401,
9,"0006602745 100,49145",01F9BF640031008E,8E00310064BFF901,
10,"0006652173 101,33037",010D816500310089,8900310065810D01,
11,"0006483142 098,60614",01C6EC6200310095,9500310062ECC601,
12,"0006662110 101,42974",01DEA76500310070,7000310065A7DE01,
13,"0002616951 039,61047",0177EE27001E009E,9E001E0027EE7701,
14,"0003301500 050,24700",017C6032001E00B6,B6001E0032607C01,
15,"0002575145 039,19241",01294B27001E0042,42001E00274B2901,
16,"0003250173 049,38909",01FD9731001E0014,14001E003197FD01,
17,"0002632720 040,11280",01102C28001E00E3,E3001E00282C1001,
18,"0002645928 040,24488",01A85F28001E0066,66001E00285FA801,
19,"0003333430 050,56630",0136DD32001E00AF,AF001E0032DD3601,
20,"0002518104 038,27736",01586C26001E00CB,CB001E00266C5801,
21,"0006490401 099,02337",01210963003100BE,BE00310063092101,
22,"0006183526 094,23142",01665A5E00310040,400031005E5A6601,
23,"0006150162 093,55314",0112D85D003100C4,C40031005DD81201,
24,"0005992998 091,29222",0126725B00310072,720031005B722601,
25,"0005998111 091,34335",011F865B003100B0,B00031005B861F01,
26,"0006137731 093,42883",0183A75D00310040,400031005DA78301,
27,"0006594522 100,40922",01DA9F6400310099,99003100649FDA01,
28,"0006129184 093,34336",0120865D00310070,700031005D862001,
29,"0005988407 091,24631",0137605B003100E1,E10031005B603701,
30,"0006154652 093,59804",019CE95D00310074,740031005DE99C01,
31,"0006007288 091,43512",01F8A95B0031008B,8B0031005BA9F801,
32,"0006649472 101,30336",01807665003100DE,DE00310065768001,
33,"0006210035 094,49651",01F3C15E003100DD,DD0031005EC1F301,
34,"0006663079 101,43943",01A7AB650031005F,5F00310065ABA701,
35,"0002670124 040,48684",012CBE28001E0047,47001E0028BE2C01,
36,"0006471304 098,48776",0188BE62003100E5,E500310062BE8801,
37,"0006667577 101,48441",0139BD650031001D,1D00310065BD3901,
38,"0006256274 095,30354",0192765F003100B8,B80031005F769201,
39,"0006181972 094,21588",0154545E00310061,610031005E545401,
40,"0005809691 088,42523",011BA6580031001C,1C00310058A61B01,
41,"0006211765 094,51381",01B5C85E003100E9,E90031005EC8B501,
42,"0006146892 093,52044",014CCB5D003100CB,CB0031005DCB4C01,
43,"0006026159 091,62383",01AFF35B00310008,080031005BF3AF01,
44,"0006170604 094,10220",01EC275E003100E4,E40031005E27EC01,
45,"0002641595 040,20155",01BB4E28001E00D5,D5001E00284EBB01,
46,"0002582126 039,26222",016E6627001E00A6,A6001E0027666E01,
47,"0002686238 040,64798",011EFD28001E0063,63001E0028FD1E01,
48,"0002664043 040,42603",016BA628001E00F5,F5001E0028A66B01,
49,"0002600005 039,44101",0145AC27001E0077,77001E0027AC4501,
50,"0002613393 039,57489",0191E027001E00A7,A7001E0027E09101,
51,"0006033407 092,04095",01FF0F5C00310027,270031005C0FFF01,
52,"0006010731 091,46955",016BB75B003100BD,BD0031005BB76B01,
53,"0006159344 093,64496",01F0FB5D00310035,350031005DFBF001,
54,"0006592742 100,39142",01E6986400310058,580031006498E601,
55,"0006405832 097,48840",01C8BE6100310018,1800310061BEC801,
56,"0006495754 099,07690",010A1E63003100DD,DD003100631E0A01,
57,"0006217527 094,57143",0137DF5E00310040,400031005EDF3701,
58,"0006204876 094,44492",01CCAD5E00310024,240031005EADCC01,
59,"0006283393 095,57473",0181E05F00310091,910031005FE08101,
60,"0006617053 100,63453",01DDF76400310033,3300310064F7DD01,
61,"0002456239 037,31407",01AF7A25001E0054,54001E00257AAF01,
62,"0002588462 039,32558",012E7F27001E005C,5C001E00277F2E01,
63,"0002505555 038,15187",01533B26001E00F7,F7001E00263B5301,
64,"0003324432 050,47632",0110BA32001E00EB,EB001E0032BA1001,
65,"0002662696 040,41256",0128A128001E0088,88001E0028A12801,
66,"0003882573 059,15949",014D3E3B001E00C8,C8001E003B3E4D01,
67,"0002595642 039,39738",013A9B27001E001E,1E001E00279B3A01,
68,"0002579912 039,24008",01C85D27001E00BC,BC001E00275DC801,
69,"0002646155 040,24715",018B6028001E0062,62001E0028608B01,
70,"0002668200 040,46760",01A8B628001E004F,4F001E0028B6A801,
71,"0006208487 094,48103",01E7BB5E0031008A,8A0031005EBBE701,
72,"0005979368 091,15592",01E83C5B003100B5,B50031005B3CE801,
73,"0006128860 093,34012",01DC845D003100FC,FC0031005D84DC01,
74,"0002430601 037,05769",01891625001E0060,60001E0025168901,
75,"0006621043 101,01907",0173076500310055,5500310065077301,
76,"0006609859 100,56259",01C3DB64003100A2,A200310064DBC301,
77,"0006484968 098,62440",01E8F36200310023,2300310062F3E801,
78,0006243071,01FF425F003100AA,AA0031005F42FF01,
79,"0002631328 040,09888",01A02628001E0059,01FF425F003100AA,
80,"0006433936 098,11408",01902C620031002B,AA0031005F42FF01,
